uid,namedLocation,domainID,siteID,plotID,collectDate,processedDate,sampleMaterial,geneticSampleID,laboratoryName,dnaSampleID,dnaSampleCode,internalLabID,testProtocolVersion,nucleicAcidConcentration,inhibitorRemovalRequired,targetGene,targetTaxonGroup,meanCopyNumber,copyNumberStandardDeviation,processedBy,reviewedBy,remarks
"53e93f81-3f5c-4b0a-a334-7e1531f7222e","MOAB_047.basePlot.bgc","D13","MOAB","MOAB_047","2017-10-01T17:07Z","2018-05-16","soil","MOAB_047-M-34-10.5-20171001-GEN","Battelle Applied Genomics","MOAB_047-M-34-10.5-20171001-GEN-DNA1",,"BMI_Plate54WellH9","BMI_qPCR_SOP_v5",2.1,"N","16S","bacteria and archaea",162973.7,31054.8,"vMLbKuU6fpFGDhus2H2JJw==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"7d63586e-38ba-499c-95c8-ab2b18e89d0b","MOAB_047.basePlot.bgc","D13","MOAB","MOAB_047","2017-10-01T17:07Z","2018-05-18","soil","MOAB_047-M-34-10.5-20171001-GEN","Battelle Applied Genomics","MOAB_047-M-34-10.5-20171001-GEN-DNA1",,"BMI_Plate54WellH9","BMI_qPCR_SOP_v5",2.1,"N","ITS","fungi",41.7,6.8,"hZbYwvE98vByp3o7zwpAsg==","lB45gbSpt1o9A1rsmuBeww==","1:10 dilution; included in calculations"
"3f073804-cd0c-4fd8-891f-f5098f502770","MOAB_047.basePlot.bgc","D13","MOAB","MOAB_047","2017-10-01T17:55Z","2018-05-16","soil","MOAB_047-M-22-33.5-20171001-GEN","Battelle Applied Genomics","MOAB_047-M-22-33.5-20171001-GEN-DNA1",,"BMI_Plate54WellH7","BMI_qPCR_SOP_v5",2.0,"N","16S","bacteria and archaea",82960.5,12853.6,"vMLbKuU6fpFGDhus2H2JJw==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"17e11d9e-5df3-41fa-901a-4511cbb5f516","MOAB_047.basePlot.bgc","D13","MOAB","MOAB_047","2017-10-01T17:55Z","2018-05-18","soil","MOAB_047-M-22-33.5-20171001-GEN","Battelle Applied Genomics","MOAB_047-M-22-33.5-20171001-GEN-DNA1",,"BMI_Plate54WellH7","BMI_qPCR_SOP_v5",2.0,"N","ITS","fungi",45.1,7.7,"hZbYwvE98vByp3o7zwpAsg==","lB45gbSpt1o9A1rsmuBeww==","1:10 dilution; included in calculations"
"0d4b5c21-8f9e-4a35-bf0f-77d1008a731f","MOAB_047.basePlot.bgc","D13","MOAB","MOAB_047","2017-10-01T18:26Z","2018-05-17","soil","MOAB_047-M-1-35.5-20171001-GEN","Battelle Applied Genomics","MOAB_047-M-1-35.5-20171001-GEN-DNA1",,"BMI_Plate54WellH5","BMI_qPCR_SOP_v5",3.8,"N","ITS","fungi",33.3,6.2,"hZbYwvE98vDRFTsfDoExUw==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"23682c3f-0a5a-47e9-ab9d-1c2ffbb87ea6","MOAB_047.basePlot.bgc","D13","MOAB","MOAB_047","2017-10-01T18:26Z","2018-05-15","soil","MOAB_047-M-1-35.5-20171001-GEN","Battelle Applied Genomics","MOAB_047-M-1-35.5-20171001-GEN-DNA1",,"BMI_Plate54WellH5","BMI_qPCR_SOP_v5",3.8,"N","16S","bacteria and archaea",319045.1,34205.8,"hZbYwvE98vAHHdGKcEzstQ==","lB45gbSpt1o9A1rsmuBeww==","1:100 dilution; included in calculations"
"c98bb80c-f0d8-4c4a-92f5-2cdc81e30df2","MOAB_045.basePlot.bgc","D13","MOAB","MOAB_045","2017-10-01T19:05Z","2018-11-14","soil","MOAB_045-M-25-32.5-20171001-GEN","Battelle Applied Genomics","MOAB_045-M-25-32.5-20171001-GEN-DNA1",,"BMI_Plate54WellF10","BMI_qPCR_SOP_v6",3.3,"N","16S","bacteria and archaea",24228.9,2231.4,"EpO2CC/Vy5JdvrXMs+zWXQ==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"7215622e-c3fc-48db-9697-76cffc9e91fb","MOAB_045.basePlot.bgc","D13","MOAB","MOAB_045","2017-10-01T19:05Z","2018-05-16","soil","MOAB_045-M-25-32.5-20171001-GEN","Battelle Applied Genomics","MOAB_045-M-25-32.5-20171001-GEN-DNA1",,"BMI_Plate54WellF10","BMI_qPCR_SOP_v5",3.3,"N","ITS","fungi",31.4,5.8,"vMLbKuU6fpFGDhus2H2JJw==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"f861bc85-774f-4ecc-adc7-e6975950e1e7","MOAB_045.basePlot.bgc","D13","MOAB","MOAB_045","2017-10-01T19:30Z","2018-11-14","soil","MOAB_045-M-3.5-16-20171001-GEN","Battelle Applied Genomics","MOAB_045-M-3.5-16-20171001-GEN-DNA1",,"BMI_Plate54WellF11","BMI_qPCR_SOP_v6",4.5,"N","16S","bacteria and archaea",25387.6,3735.0,"EpO2CC/Vy5JdvrXMs+zWXQ==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"f63d14de-0805-4e26-93d2-85bad4086d29","MOAB_045.basePlot.bgc","D13","MOAB","MOAB_045","2017-10-01T19:30Z","2018-05-16","soil","MOAB_045-M-3.5-16-20171001-GEN","Battelle Applied Genomics","MOAB_045-M-3.5-16-20171001-GEN-DNA1",,"BMI_Plate54WellF11","BMI_qPCR_SOP_v5",4.5,"N","ITS","fungi",14.6,0.8,"vMLbKuU6fpFGDhus2H2JJw==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
