uid,namedLocation,domainID,siteID,plotID,collectDate,processedDate,sampleMaterial,geneticSampleID,laboratoryName,dnaSampleID,dnaSampleCode,internalLabID,testProtocolVersion,nucleicAcidConcentration,inhibitorRemovalRequired,targetGene,targetTaxonGroup,meanCopyNumber,copyNumberStandardDeviation,processedBy,reviewedBy,remarks
"af81f58e-1fe7-4d99-a4ec-066ecc106db6","SCBI_003.basePlot.bgc","D02","SCBI","SCBI_003","2017-10-23T13:30Z","2018-04-05","soil","SCBI_003-M-8.5-3-20171023-GEN","Battelle Applied Genomics","SCBI_003-M-8.5-3-20171023-GEN-DNA1",,"BMI_Plate44WellD2","BMI_qPCR_SOP_v5",44.0,"N","16S","bacteria and archaea",64473.2,7184.9,"hZbYwvE98vDB30PPa3pXrw==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"cd44e36c-cca3-4a0c-b848-bd922c684534","SCBI_045.basePlot.bgc","D02","SCBI","SCBI_045","2017-10-23T13:45Z","2018-09-24","soil","SCBI_045-M-31.5-36-20171023-GEN","Battelle Applied Genomics","SCBI_045-M-31.5-36-20171023-GEN-DNA1",,"BMI_Plate44WellE5","BMI_qPCR_SOP_v6",33.0,"N","ITS","fungi",7.3,0.2,"lB45gbSpt1qhvgsSYw5Qrg==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"3d780980-7677-4324-b221-067adadd6533","SCBI_045.basePlot.bgc","D02","SCBI","SCBI_045","2017-10-23T13:45Z","2018-04-05","soil","SCBI_045-M-31.5-36-20171023-GEN","Battelle Applied Genomics","SCBI_045-M-31.5-36-20171023-GEN-DNA1",,"BMI_Plate44WellE5","BMI_qPCR_SOP_v5",33.0,"N","16S","bacteria and archaea",557.2,161.9,"hZbYwvE98vDB30PPa3pXrw==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"fe9666ba-6545-422a-8793-3b1d0910b55f","SCBI_003.basePlot.bgc","D02","SCBI","SCBI_003","2017-10-23T14:35Z","2018-04-09","soil","SCBI_003-M-25-2.5-20171023-GEN","Battelle Applied Genomics","SCBI_003-M-25-2.5-20171023-GEN-DNA1",,"BMI_Plate44WellC12","BMI_qPCR_SOP_v5",25.0,"N","ITS","fungi",37.6,4.5,"rxnG2CiGqmtYqeBJ4Jfpxg==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"4f93cee8-936e-4795-a6dc-e16ce90a2246","SCBI_003.basePlot.bgc","D02","SCBI","SCBI_003","2017-10-23T14:35Z","2018-04-11","soil","SCBI_003-M-25-2.5-20171023-GEN","Battelle Applied Genomics","SCBI_003-M-25-2.5-20171023-GEN-DNA1",,"BMI_Plate44WellC12","BMI_qPCR_SOP_v5",25.0,"N","16S","bacteria and archaea",3422.8,420.4,"hZbYwvE98vAHHdGKcEzstQ==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"9ca1aef7-7e72-4073-8657-1f161bcb6f31","SCBI_045.basePlot.bgc","D02","SCBI","SCBI_045","2017-10-23T14:49Z","2018-04-09","soil","SCBI_045-M-2.5-0-20171023-GEN","Battelle Applied Genomics","SCBI_045-M-2.5-0-20171023-GEN-DNA1",,"BMI_Plate44WellE3","BMI_qPCR_SOP_v5",18.0,"N","ITS","fungi",10.5,0.4,"rxnG2CiGqmtYqeBJ4Jfpxg==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
"fb3ce603-ae89-43cf-8f63-4481e76e313a","SCBI_045.basePlot.bgc","D02","SCBI","SCBI_045","2017-10-23T14:49Z","2018-04-05","soil","SCBI_045-M-2.5-0-20171023-GEN","Battelle Applied Genomics","SCBI_045-M-2.5-0-20171023-GEN-DNA1",,"BMI_Plate44WellE3","BMI_qPCR_SOP_v5",18.0,"N","16S","bacteria and archaea",48684.1,8712.9,"hZbYwvE98vDB30PPa3pXrw==","hZbYwvE98vC74xef62GeRA==","1:100 dilution; included in calculations"
"e4544e44-7c2b-4239-9d2f-0450e65eb371","SCBI_003.basePlot.bgc","D02","SCBI","SCBI_003","2017-10-23T15:31Z","2018-09-24","soil","SCBI_003-M-28.5-31-20171023-GEN","Battelle Applied Genomics","SCBI_003-M-28.5-31-20171023-GEN-DNA1",,"BMI_Plate44WellD1","BMI_qPCR_SOP_v6",57.0,"N","ITS","fungi",7.8,0.5,"lB45gbSpt1qhvgsSYw5Qrg==","RuY12me+ipXm0I2ck7Euxg==","1:10 dilution; included in calculations"
"5d260a06-16a6-4d7b-83f2-610104d84b1a","SCBI_003.basePlot.bgc","D02","SCBI","SCBI_003","2017-10-23T15:31Z","2018-04-04","soil","SCBI_003-M-28.5-31-20171023-GEN","Battelle Applied Genomics","SCBI_003-M-28.5-31-20171023-GEN-DNA1",,"BMI_Plate44WellD1","BMI_qPCR_SOP_v5",57.0,"N","16S","bacteria and archaea",30620.9,2408.0,"hZbYwvE98vBgTyr5HWFh7g==","RuY12me+ipXm0I2ck7Euxg==","1:100 dilution; included in calculations"
"88c08b4b-73f9-4f19-826e-ee4f2593b0ba","SCBI_045.basePlot.bgc","D02","SCBI","SCBI_045","2017-10-23T15:44Z","2018-04-09","soil","SCBI_045-M-22.5-1-20171023-GEN","Battelle Applied Genomics","SCBI_045-M-22.5-1-20171023-GEN-DNA1",,"BMI_Plate44WellE4","BMI_qPCR_SOP_v5",34.0,"N","ITS","fungi",7.0,0.2,"rxnG2CiGqmtYqeBJ4Jfpxg==","hZbYwvE98vC74xef62GeRA==","1:10 dilution; included in calculations"
